"Date","Depth..m.","Temp...degC.","Sal.","Cond...mS.cm.","EC25..µS.cm.","Density..kg.m3.","SigmaT","Chl.Flu...ppb.","Chl.a..µg.l.","Turb...FTU.","pH","DO....","Weiss.DO..mg.l.","Quant...µmol..m2.s..","Mark","G.G.DO..mg.l.","B.K.DO..mg.l.","X","Station"
"5/26/2022 2:43:04 PM",0.217,30.198,49.653,79.615,71444.6,1032.693,32.692,0.14,0.14,0,7.76,100.36,5.712,154.373,0,5.724,5.728,NA,34
"5/26/2022 2:43:05 PM",0.36,30.201,49.651,79.616,71441.6,1032.69,32.689,0.094,0.094,0,7.764,100.42,5.715,137.296,0,5.728,5.731,NA,34
"5/26/2022 2:43:05 PM",0.511,30.206,49.653,79.625,71443.7,1032.691,32.689,0,0,0,7.763,100.464,5.718,106.795,0,5.731,5.734,NA,34
"5/26/2022 2:43:05 PM",0.696,30.21,49.657,79.637,71447.5,1032.693,32.69,0,0,0,7.768,100.563,5.724,58.623,0,5.737,5.74,NA,34
"5/26/2022 2:43:05 PM",0.833,30.212,49.66,79.644,71451.4,1032.695,32.692,0,0,0,7.775,100.653,5.729,37.637,0,5.742,5.745,NA,34
"5/26/2022 2:43:05 PM",0.958,30.211,49.655,79.637,71445.8,1032.692,32.688,0,0,0,7.776,100.554,5.724,25.828,0,5.737,5.74,NA,34
"5/26/2022 2:43:06 PM",1.104,30.212,49.658,79.642,71449.7,1032.695,32.69,0.078,0.078,0,7.778,100.566,5.725,19.116,0,5.738,5.741,NA,34
"5/26/2022 2:43:06 PM",1.263,30.213,49.656,79.64,71447.1,1032.694,32.689,0.078,0.078,0,7.784,100.593,5.727,16.057,0,5.74,5.743,NA,34
"5/26/2022 2:43:06 PM",1.541,30.212,49.662,79.648,71454.9,1032.7,32.693,0.429,0.429,0.845,7.779,100.619,5.729,17.332,0,5.741,5.744,NA,34
"5/26/2022 2:43:06 PM",1.69,30.212,49.668,79.656,71462.3,1032.705,32.698,0.983,0.983,2.171,7.778,100.539,5.723,23.704,0,5.736,5.739,NA,34
"5/26/2022 2:43:06 PM",1.835,30.213,49.676,79.669,71471.4,1032.711,32.703,1.599,1.599,3.645,7.779,100.644,5.729,38.147,0,5.742,5.745,NA,34
"5/26/2022 2:43:07 PM",1.951,30.215,49.68,79.677,71476.2,1032.714,32.705,1.053,1.053,2.332,7.781,100.595,5.727,63.805,0,5.739,5.743,NA,34
