"Date","Depth..m.","Temp...degC.","Sal.","Cond...mS.cm.","EC25..µS.cm.","Density..kg.m3.","SigmaT","Chl.Flu...ppb.","Chl.a..µg.l.","Turb...FTU.","pH","DO....","Weiss.DO..mg.l.","Quant...µmol..m2.s..","Mark","G.G.DO..mg.l.","B.K.DO..mg.l.","X","Station"
"5/27/2022 8:24:08 AM",0.364,30.071,50.167,80.144,72100.2,1033.128,33.126,0.187,0.187,0.408,7.653,96.437,5.535,876.025,0,5.548,5.551,NA,42
"5/27/2022 8:24:08 AM",0.388,30.071,50.165,80.141,72098.1,1033.127,33.125,0.14,0.14,0.306,7.653,96.527,5.54,773.563,0,5.553,5.556,NA,42
"5/27/2022 8:24:08 AM",0.432,30.07,50.167,80.143,72100.2,1033.128,33.126,0.039,0.039,0,7.656,96.578,5.544,937.196,0,5.556,5.56,NA,42
"5/27/2022 8:24:08 AM",0.456,30.069,50.173,80.15,72108.2,1033.133,33.131,0.078,0.078,0,7.657,96.624,5.546,839.322,0,5.559,5.562,NA,42
"5/27/2022 8:24:08 AM",0.463,30.069,50.185,80.165,72122.4,1033.142,33.14,0.133,0.133,0.16,7.659,96.485,5.538,725.9,0,5.55,5.554,NA,42
"5/27/2022 8:24:09 AM",0.468,30.068,50.188,80.169,72126.2,1033.145,33.143,0.195,0.195,0.32,7.661,96.514,5.539,832.185,0,5.552,5.555,NA,42
"5/27/2022 8:24:09 AM",0.482,30.068,50.186,80.166,72124.5,1033.144,33.142,0.07,0.07,0,7.663,96.601,5.544,809.076,0,5.557,5.56,NA,42
"5/27/2022 8:24:09 AM",0.524,30.067,50.188,80.168,72127.5,1033.146,33.144,0.031,0.031,0.015,7.666,96.552,5.541,900.748,0,5.553,5.557,NA,42
"5/27/2022 8:24:09 AM",0.569,30.069,50.181,80.16,72117.9,1033.14,33.137,0.133,0.133,0.175,7.668,96.586,5.543,868.633,0,5.556,5.559,NA,42
"5/27/2022 8:24:10 AM",0.708,30.072,50.195,80.184,72135.5,1033.15,33.147,0.016,0.016,0,7.669,96.567,5.542,705.17,0,5.555,5.558,NA,42
"5/27/2022 8:24:10 AM",0.795,30.073,50.195,80.185,72134.6,1033.15,33.146,0.023,0.023,0.364,7.672,96.554,5.541,767.276,0,5.554,5.557,NA,42
